departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YTO,EBL,condor.com,airport,false,*,*,false
PMI,DTM,condor.com,airport,false,*,*,false
PMI,MUC,condor.com,airport,false,*,*,false
PMI,ZRH,condor.com,airport,false,*,*,false
MUC,RHO,condor.com,airport,false,*,*,false
FRA,YYC,condor.com,airport,false,*,*,false
FRA,LAX,condor.com,airport,false,*,*,false
HAV,AMM,condor.com,airport,false,*,*,false
CUN,FRA,condor.com,airport,false,*,*,false
FRA,AGA,condor.com,airport,false,*,*,false
AGP,FRA,condor.com,airport,false,*,*,false
ZNZ,FRA,condor.com,airport,false,*,*,false
YYC,TUN,condor.com,airport,false,*,*,false
YYC,WAW,condor.com,airport,false,*,*,false
YVR,CAI,condor.com,airport,false,*,*,false
YTO,JED,condor.com,airport,false,*,*,false
STR,PMI,condor.com,airport,false,*,*,false
LAX,FRA,condor.com,airport,false,*,*,false
RHO,FRA,condor.com,airport,false,*,*,false
LPA,DUS,condor.com,airport,false,*,*,false
MBJ,FRA,condor.com,airport,false,*,*,false
MUC,HER,condor.com,airport,false,*,*,false
IBZ,DUS,condor.com,airport,false,*,*,false
FRA,SJD,condor.com,airport,false,*,*,false
FUE,DUS,condor.com,airport,false,*,*,false
BER,CAI,condor.com,airport,false,*,*,false
DUS,SPU,condor.com,airport,false,*,*,false
CGN,HRG,condor.com,airport,false,*,*,false
AGP,DUS,condor.com,airport,false,*,*,false
YTO,BRE,condor.com,airport,false,*,*,false
YTO,HYD,condor.com,airport,false,*,*,false
SEA,DOH,condor.com,airport,false,*,*,false
STR,CAI,condor.com,airport,false,*,*,false
YTO,KHI,condor.com,airport,false,*,*,false
NYC,FRA,condor.com,airport,false,*,*,false
MIA,PAR,condor.com,airport,false,*,*,false
PMI,NUE,condor.com,airport,false,*,*,false
NUE,RHO,condor.com,airport,false,*,*,false
LEJ,AMM,condor.com,airport,false,*,*,false
PMI,LEJ,condor.com,airport,false,*,*,false
IBZ,IST,condor.com,airport,false,*,*,false
FRA,SFO,condor.com,airport,false,*,*,false
HAV,FRA,condor.com,airport,false,*,*,false
KGS,FRA,condor.com,airport,false,*,*,false
AGA,IST,condor.com,airport,false,*,*,false
CPT,BRU,condor.com,airport,false,*,*,false
DUS,KGS,condor.com,airport,false,*,*,false
FAO,MUC,condor.com,airport,false,*,*,false
TCI,FRA,condor.com,airport,false,*,*,false
SMI,FRA,condor.com,airport,false,*,*,false
SPU,FRA,condor.com,airport,false,*,*,false
YHZ,DXB,condor.com,airport,false,*,*,false
YTO,ZRH,condor.com,airport,false,*,*,false
YTO,ATQ,condor.com,airport,false,*,*,false
SEA,VIE,condor.com,airport,false,*,*,false
MSP,BGW,condor.com,airport,false,*,*,false
LEJ,AGA,condor.com,airport,false,*,*,false
PMI,RUH,condor.com,airport,false,*,*,false
MUC,AYT,condor.com,airport,false,*,*,false
FRA,CFU,condor.com,airport,false,*,*,false
HER,STR,condor.com,airport,false,*,*,false
FRA,ZNZ,condor.com,airport,false,*,*,false
KGS,ZRH,condor.com,airport,false,*,*,false
FRA,HKT,condor.com,airport,false,*,*,false
FRA,BEY,condor.com,airport,false,*,*,false
DUS,PRN,condor.com,airport,false,*,*,false
BER,SKT,condor.com,airport,false,*,*,false
