departure_code,arrival_code,pos_provider_code,route_type
AMM,CPH,emirates.com,airport
BEY,BUD,emirates.com,airport
ADD,XIY,emirates.com,airport
ADD,CMH,emirates.com,airport
ATH,MXP,emirates.com,airport
ATH,LIN,emirates.com,airport
ATH,BGY,emirates.com,airport
BAH,KUA,emirates.com,airport
BEY,BCN,emirates.com,airport
BEG,SUB,emirates.com,airport
AKL,CCU,emirates.com,airport
BAH,KBK,emirates.com,airport
ACC,ALG,emirates.com,airport
BGW,LGK,emirates.com,airport
AMD,DKR,emirates.com,airport
ALG,NQZ,emirates.com,airport
AMM,LKO,emirates.com,airport
ALG,MSQ,emirates.com,airport
ACC,RAR,emirates.com,airport
AHB,COK,emirates.com,airport
BAH,ILO,emirates.com,airport
ALG,MJZ,emirates.com,airport
AMM,SHV,emirates.com,airport
AMM,SGN,emirates.com,airport
AMS,HGN,emirates.com,airport
BEY,NCE,emirates.com,airport
AMM,GAN,emirates.com,airport
ABJ,RAR,emirates.com,airport
ABJ,KRK,emirates.com,airport
ADL,AMM,emirates.com,airport
ALG,BCN,emirates.com,airport
AMM,YTY,emirates.com,airport
AMD,BKK,emirates.com,airport
ACC,POM,emirates.com,airport
BAH,ERH,emirates.com,airport
AMD,BHM,emirates.com,airport
BEY,RDU,emirates.com,airport
BEY,KKJ,emirates.com,airport
AAN,HLP,emirates.com,airport
AAN,CGK,emirates.com,airport
AMD,AHB,emirates.com,airport
ATH,SYD,emirates.com,airport
AMM,SLC,emirates.com,airport
ALG,YMX,emirates.com,airport
ALG,YUL,emirates.com,airport
ALG,YHU,emirates.com,airport
BGW,KIX,emirates.com,airport
BGW,ITM,emirates.com,airport
ALG,VVO,emirates.com,airport
BGW,GYD,emirates.com,airport
BEY,LWG,emirates.com,airport
BEY,SEN,emirates.com,airport
BEY,STN,emirates.com,airport
BEY,LTN,emirates.com,airport
BEY,LHR,emirates.com,airport
BEY,LGW,emirates.com,airport
BEY,LCY,emirates.com,airport
BEY,CLE,emirates.com,airport
ALG,TKD,emirates.com,airport
ACC,LBV,emirates.com,airport
ABJ,YMX,emirates.com,airport
ABJ,YUL,emirates.com,airport
ABJ,YHU,emirates.com,airport
ALG,MSU,emirates.com,airport
ATH,LHE,emirates.com,airport
BEY,YQB,emirates.com,airport
BRU,TKQ,emirates.com,airport
CAI,CLT,emirates.com,airport
BRU,BSR,emirates.com,airport
BSR,HAM,emirates.com,airport
CCJ,PKX,emirates.com,airport
CCJ,CHG,emirates.com,airport
CCJ,PEK,emirates.com,airport
CCJ,NAY,emirates.com,airport
CMB,GUA,emirates.com,airport
CMB,DUB,emirates.com,airport
BKK,DEL,emirates.com,airport
CAN,VCE,emirates.com,airport
BKK,EDI,emirates.com,airport
CMB,BBU,emirates.com,airport
CMB,OTP,emirates.com,airport
CAI,EPA,emirates.com,airport
CAI,EZE,emirates.com,airport
CAI,AEP,emirates.com,airport
CAN,LWG,emirates.com,airport
CAN,SEN,emirates.com,airport
CAN,STN,emirates.com,airport
CAN,LTN,emirates.com,airport
CAN,LHR,emirates.com,airport
CAN,LGW,emirates.com,airport
CAN,LCY,emirates.com,airport
CKY,UIO,emirates.com,airport
CAN,LIS,emirates.com,airport
BNE,LLW,emirates.com,airport
BGW,YQG,emirates.com,airport
CKY,RBA,emirates.com,airport
BSR,DFW,emirates.com,airport
BRU,VST,emirates.com,airport
BRU,NYO,emirates.com,airport
BRU,BMA,emirates.com,airport
BRU,ARN,emirates.com,airport
BNE,AMD,emirates.com,airport
BKK,ABZ,emirates.com,airport
BUD,JED,emirates.com,airport
BUD,HYD,emirates.com,airport
BND,VST,emirates.com,airport
BND,NYO,emirates.com,airport
BND,BMA,emirates.com,airport
BND,ARN,emirates.com,airport
CAN,BSB,emirates.com,airport
BND,HLP,emirates.com,airport
BND,CGK,emirates.com,airport
CAN,BEG,emirates.com,airport
CKY,ALA,emirates.com,airport
GYY,SVX,emirates.com,airport
ORD,SVX,emirates.com,airport
MDW,SVX,emirates.com,airport
GYY,MUX,emirates.com,airport
ORD,MUX,emirates.com,airport
MDW,MUX,emirates.com,airport
CAI,YXU,emirates.com,airport
GYY,KUL,emirates.com,airport
ORD,KUL,emirates.com,airport
MDW,KUL,emirates.com,airport
GYY,KBL,emirates.com,airport
ORD,KBL,emirates.com,airport
MDW,KBL,emirates.com,airport
CAI,YQG,emirates.com,airport
BUD,DAC,emirates.com,airport
GYY,GIZ,emirates.com,airport
ORD,GIZ,emirates.com,airport
MDW,GIZ,emirates.com,airport
BKK,YNB,emirates.com,airport
GYY,DAC,emirates.com,airport
ORD,DAC,emirates.com,airport
MDW,DAC,emirates.com,airport
GYY,CAI,emirates.com,airport
ORD,CAI,emirates.com,airport
MDW,CAI,emirates.com,airport
CAI,VVO,emirates.com,airport
CHC,SIN,emirates.com,airport
CAI,VCP,emirates.com,airport
CHC,LBG,emirates.com,airport
CHC,ORY,emirates.com,airport
CHC,CDG,emirates.com,airport
CHC,BVA,emirates.com,airport
BSR,YKF,emirates.com,airport
BSR,YTZ,emirates.com,airport
BSR,YHM,emirates.com,airport
CAI,ASB,emirates.com,airport
CHC,KTM,emirates.com,airport
CHC,ELQ,emirates.com,airport
BSR,YMX,emirates.com,airport
BSR,YUL,emirates.com,airport
BSR,YHU,emirates.com,airport
CGR,BEY,emirates.com,airport
CAI,TTT,emirates.com,airport
CEB,YXU,emirates.com,airport
CAI,TNA,emirates.com,airport
CAI,TJM,emirates.com,airport
BSR,YEG,emirates.com,airport
CEB,FCO,emirates.com,airport
CEB,CIA,emirates.com,airport
BGW,VOG,emirates.com,airport
BOM,YEG,emirates.com,airport
CEB,CPT,emirates.com,airport
BLR,VFA,emirates.com,airport
CCU,YXU,emirates.com,airport
BJV,BVC,emirates.com,airport
BKK,PLU,emirates.com,airport
BKK,CNF,emirates.com,airport
BLR,OSL,emirates.com,airport
CCU,VCT,emirates.com,airport
BOM,AUH,emirates.com,airport
BLR,SFB,emirates.com,airport
BLR,MCO,emirates.com,airport
BUS,BKK,emirates.com,airport
CAI,SKD,emirates.com,airport
BRU,JAX,emirates.com,airport
CAI,SHE,emirates.com,airport
PKX,VST,emirates.com,airport
PKX,NYO,emirates.com,airport
PKX,BMA,emirates.com,airport
PKX,ARN,emirates.com,airport
CHG,VST,emirates.com,airport
CHG,NYO,emirates.com,airport
CHG,BMA,emirates.com,airport
CHG,ARN,emirates.com,airport
PEK,VST,emirates.com,airport
PEK,NYO,emirates.com,airport
PEK,BMA,emirates.com,airport
PEK,ARN,emirates.com,airport
NAY,VST,emirates.com,airport
NAY,NYO,emirates.com,airport
