departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
BEY,BAL,zd.wego.com,airport,false,*,*,true,*
BEY,MSR,zd.wego.com,airport,false,*,*,true,*
BEY,BER,zd.wego.com,airport,false,*,*,true,*
BEY,DUS,zd.wego.com,airport,false,*,*,true,*
BEY,BEG,zd.wego.com,airport,false,*,*,true,*
BEY,IGD,zd.wego.com,airport,false,*,*,true,*
BEY,GNY,zd.wego.com,airport,false,*,*,true,*
BEY,HTY,zd.wego.com,airport,false,*,*,true,*
BEY,ERZ,zd.wego.com,airport,false,*,*,true,*
BEY,AJI,zd.wego.com,airport,false,*,*,true,*
BEY,GZT,zd.wego.com,airport,false,*,*,true,*
BEY,DLM,zd.wego.com,airport,false,*,*,true,*
ALA,BEY,zd.wego.com,airport,false,*,*,true,*
HAM,VKO,zd.wego.com,airport,false,*,*,true,*
DIY,BEY,zd.wego.com,airport,false,*,*,true,*
HAJ,VKO,zd.wego.com,airport,false,*,*,true,*
BER,BEY,zd.wego.com,airport,false,*,*,true,*
MSR,BEY,zd.wego.com,airport,false,*,*,true,*
CGN,BEY,zd.wego.com,airport,false,*,*,true,*
JED,BEY,zd.wego.com,airport,false,*,*,true,*
LYS,VKO,zd.wego.com,airport,false,*,*,true,*
BEG,BEY,zd.wego.com,airport,false,*,*,true,*
RUH,VKO,zd.wego.com,airport,false,*,*,true,*
ASR,VKO,zd.wego.com,airport,false,*,*,true,*
IKA,VKO,zd.wego.com,airport,false,*,*,true,*
KWI,VKO,zd.wego.com,airport,false,*,*,true,*
GNY,BEY,zd.wego.com,airport,false,*,*,true,*
BUD,VKO,zd.wego.com,airport,false,*,*,true,*
EBL,VKO,zd.wego.com,airport,false,*,*,true,*
ERZ,BEY,zd.wego.com,airport,false,*,*,true,*
AJI,BEY,zd.wego.com,airport,false,*,*,true,*
EZS,BEY,zd.wego.com,airport,false,*,*,true,*
ARN,BEY,zd.wego.com,airport,false,*,*,true,*
VKO,FCO,zd.wego.com,airport,false,*,*,true,*
VKO,BGW,zd.wego.com,airport,false,*,*,true,*
VKO,BGY,zd.wego.com,airport,false,*,*,true,*
VKO,OMH,zd.wego.com,airport,false,*,*,true,*
VKO,CAI,zd.wego.com,airport,false,*,*,true,*
VKO,BSL,zd.wego.com,airport,false,*,*,true,*
VKO,ZRH,zd.wego.com,airport,false,*,*,true,*
VKO,DNZ,zd.wego.com,airport,false,*,*,true,*
VKO,KYA,zd.wego.com,airport,false,*,*,true,*
VKO,SHJ,zd.wego.com,airport,false,*,*,true,*
VKO,TJK,zd.wego.com,airport,false,*,*,true,*
VKO,VAS,zd.wego.com,airport,false,*,*,true,*
VKO,PRN,zd.wego.com,airport,false,*,*,true,*
VKO,NAV,zd.wego.com,airport,false,*,*,true,*
VKO,BRU,zd.wego.com,airport,false,*,*,true,*
VKO,TZL,zd.wego.com,airport,false,*,*,true,*
VKO,SKP,zd.wego.com,airport,false,*,*,true,*
VKO,CPH,zd.wego.com,airport,false,*,*,true,*
VKO,HRG,zd.wego.com,airport,false,*,*,true,*
VKO,ALG,zd.wego.com,airport,false,*,*,true,*
VKO,HAJ,zd.wego.com,airport,false,*,*,true,*
VKO,HAM,zd.wego.com,airport,false,*,*,true,*
VKO,BEY,zd.wego.com,airport,false,*,*,true,*
VKO,BAH,zd.wego.com,airport,false,*,*,true,*
VKO,SSH,zd.wego.com,airport,false,*,*,true,*
VKO,ASR,zd.wego.com,airport,false,*,*,true,*
VKO,DMM,zd.wego.com,airport,false,*,*,true,*
VKO,RUH,zd.wego.com,airport,false,*,*,true,*
VKO,LYS,zd.wego.com,airport,false,*,*,true,*
VKO,KWI,zd.wego.com,airport,false,*,*,true,*
VKO,IKA,zd.wego.com,airport,false,*,*,true,*
VKO,BUD,zd.wego.com,airport,false,*,*,true,*
VKO,SJJ,zd.wego.com,airport,false,*,*,true,*
VKO,EBL,zd.wego.com,airport,false,*,*,true,*
ERC,BEY,zd.wego.com,airport,false,*,*,true,*
NKT,BEY,zd.wego.com,airport,false,*,*,true,*
GVA,BEY,zd.wego.com,airport,false,*,*,true,*
FCO,VKO,zd.wego.com,airport,false,*,*,true,*
OMH,VKO,zd.wego.com,airport,false,*,*,true,*
MQM,BEY,zd.wego.com,airport,false,*,*,true,*
AYT,BEY,zd.wego.com,airport,false,*,*,true,*
BSL,VKO,zd.wego.com,airport,false,*,*,true,*
ZRH,VKO,zd.wego.com,airport,false,*,*,true,*
DNZ,VKO,zd.wego.com,airport,false,*,*,true,*
STR,BEY,zd.wego.com,airport,false,*,*,true,*
BJV,BEY,zd.wego.com,airport,false,*,*,true,*
RZV,BEY,zd.wego.com,airport,false,*,*,true,*
STN,BEY,zd.wego.com,airport,false,*,*,true,*
VAS,VKO,zd.wego.com,airport,false,*,*,true,*
FRU,BEY,zd.wego.com,airport,false,*,*,true,*
CDG,BEY,zd.wego.com,airport,false,*,*,true,*
BRU,VKO,zd.wego.com,airport,false,*,*,true,*
VAN,BEY,zd.wego.com,airport,false,*,*,true,*
NAV,VKO,zd.wego.com,airport,false,*,*,true,*
BEY,COV,zd.wego.com,airport,false,*,*,true,*
BEY,ECN,zd.wego.com,airport,false,*,*,true,*
BEY,ESB,zd.wego.com,airport,false,*,*,true,*
BEY,SAW,zd.wego.com,airport,false,*,*,true,*
ECN,BEY,zd.wego.com,airport,false,*,*,true,*
COV,BEY,zd.wego.com,airport,false,*,*,true,*
ESB,BEY,zd.wego.com,airport,false,*,*,true,*
SAW,BEY,zd.wego.com,airport,false,*,*,true,*
ADB,OMH,zd.wego.com,airport,false,*,*,true,*
ALG,OMH,zd.wego.com,airport,false,*,*,true,*
OGU,OMH,zd.wego.com,airport,false,*,*,true,*
HRG,OMH,zd.wego.com,airport,false,*,*,true,*
CPH,OMH,zd.wego.com,airport,false,*,*,true,*
SKP,OMH,zd.wego.com,airport,false,*,*,true,*
HAM,OMH,zd.wego.com,airport,false,*,*,true,*
DIY,OMH,zd.wego.com,airport,false,*,*,true,*
FRA,OMH,zd.wego.com,airport,false,*,*,true,*
VIE,OMH,zd.wego.com,airport,false,*,*,true,*
ECN,OMH,zd.wego.com,airport,false,*,*,true,*
HAJ,OMH,zd.wego.com,airport,false,*,*,true,*
