departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
DWC,RUH,zm.wego.com,airport,false,*,*,true,*
JED,TZX,zm.wego.com,airport,false,*,*,true,*
DMM,DXB,zm.wego.com,airport,false,*,*,true,*
DEL,CCU,zm.wego.com,airport,false,*,*,true,*
RUH,KHI,zm.wego.com,airport,false,*,*,true,*
KWI,DEL,zm.wego.com,airport,false,*,*,true,*
RUH,KWI,zm.wego.com,airport,false,*,*,true,*
BKK,HKT,zm.wego.com,airport,false,*,*,true,*
KWI,LKO,zm.wego.com,airport,false,*,*,true,*
RUH,BAH,zm.wego.com,airport,false,*,*,true,*
BGW,SAW,zm.wego.com,airport,false,*,*,true,*
CCJ,JED,zm.wego.com,airport,false,*,*,true,*
MED,SAW,zm.wego.com,airport,false,*,*,true,*
MED,AUH,zm.wego.com,airport,false,*,*,true,*
MCT,SPX,zm.wego.com,airport,false,*,*,true,*
DAC,DMM,zm.wego.com,airport,false,*,*,true,*
TIF,DMM,zm.wego.com,airport,false,*,*,true,*
MNL,DXB,zm.wego.com,airport,false,*,*,true,*
KWI,BOM,zm.wego.com,airport,false,*,*,true,*
SXR,DEL,zm.wego.com,airport,false,*,*,true,*
DEL,PAT,zm.wego.com,airport,false,*,*,true,*
LKO,JED,zm.wego.com,airport,false,*,*,true,*
CCU,DEL,zm.wego.com,airport,false,*,*,true,*
HYD,RUH,zm.wego.com,airport,false,*,*,true,*
SAW,KWI,zm.wego.com,airport,false,*,*,true,*
AUH,GYD,zm.wego.com,airport,false,*,*,true,*
DMM,DAC,zm.wego.com,airport,false,*,*,true,*
IST,JED,zm.wego.com,airport,false,*,*,true,*
KWI,COK,zm.wego.com,airport,false,*,*,true,*
DMM,AUH,zm.wego.com,airport,false,*,*,true,*
HMB,RUH,zm.wego.com,airport,false,*,*,true,*
DMM,AMM,zm.wego.com,airport,false,*,*,true,*
AMM,DMM,zm.wego.com,airport,false,*,*,true,*
SPX,RUH,zm.wego.com,airport,false,*,*,true,*
BOM,DXB,zm.wego.com,airport,false,*,*,true,*
RUH,GOP,zm.wego.com,airport,false,*,*,true,*
JED,ELQ,zm.wego.com,airport,false,*,*,true,*
MCT,JED,zm.wego.com,airport,false,*,*,true,*
RUH,PAT,zm.wego.com,airport,false,*,*,true,*
BLR,CCU,zm.wego.com,airport,false,*,*,true,*
TUU,DMM,zm.wego.com,airport,false,*,*,true,*
DMM,CCJ,zm.wego.com,airport,false,*,*,true,*
DMM,ISB,zm.wego.com,airport,false,*,*,true,*
KWI,AMD,zm.wego.com,airport,false,*,*,true,*
EAM,DMM,zm.wego.com,airport,false,*,*,true,*
DXB,MED,zm.wego.com,airport,false,*,*,true,*
LKO,DMM,zm.wego.com,airport,false,*,*,true,*
KWI,HYD,zm.wego.com,airport,false,*,*,true,*
PAT,DEL,zm.wego.com,airport,false,*,*,true,*
HKT,DMK,zm.wego.com,airport,false,*,*,true,*
