departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YYZ,MFR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SBA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MZT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RHI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MSO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MEM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,KOA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RSW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DLH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BUF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RST,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BGR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OGG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SFB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MEX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FSD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LIT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YYC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TWF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FAI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GRK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BOI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CRP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GDL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BQN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,XNA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FNT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MOT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LGB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CHA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DRO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GSP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ALB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LSE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HRL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ONT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PVD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AVP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GPT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YVR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JAN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,VPS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DAL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SUN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RDM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SCE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EUG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CAE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TXK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DAB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FCA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ECP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GUC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CHO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AOO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SAV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SGF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ILM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BTR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BRO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MKG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ACV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YUM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HOB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PIA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MLI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JST,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BKG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MRY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ENA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YOW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EGE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BHM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EYW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PSP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DAY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,COS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,VER,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LEX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ROC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PIR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LIH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MSN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TYS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YWG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CAK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LFT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ABY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MID,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SUX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TLH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IDA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GNV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PVR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AGU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BIS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FWA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JAC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FLG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,STS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DHN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ATW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MBS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YXU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TVC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YXE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MTT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MHT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TAP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ROA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HDN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CRW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,QRO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HYS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AGS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ASE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EAU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MOB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BGM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GJT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SLP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YEG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MDT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CSG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HHH,theflightsfare.com-CA,airport,false,*,*,false,*
